Sample # ,Date,Exp,Timepoint,Group,ID,Nasal Hh density,MET Hh density,Lung Hh Density,Brain Hh Density,Gut Hh Density,Blood Hh Density
1,45106,Exp1,1h,Hh,1,1.159246913,0.055,0.01,0.006,0.006,0.006
2,45106,Exp1,1h,Hh,2,52.41415014,0.055,14.06410432,0.006,0.013810804,0.006
6,45118,Exp2,1h,Hh,1,68.54410996,0.055,2.112425693,0.029577891,0.006,0.006
7,45118,Exp2,1h,Hh,2,8.909743122,0.193260496,1.378919564,0.006,0.006,0.006
8,45118,Exp2,1h,Hh,3,17.33113058,0.055,24.30503171,0.006,0.012450164,0.006
9,45118,Exp2,1h,Hh,4,32.47548268,0.055,1.186310919,0.006,0.006,0.006
10,45119,Exp2,24h,Hh,1,0.05,0.055,0.01,0.006,0.006,0.006
11,45119,Exp2,24h,Hh,2,0.404745973,0.055,0.29480072,0.006,0.006,0.006
12,45119,Exp2,24h,Hh,3,0.05,0.055,0.095801267,0.006,0.006,0.006
13,45119,Exp2,24h,Hh,4,0.697011133,0.055,0.01,0.006,0.006,0.006
14,45119,Exp2,24h,Hh,5,0.154813076,0.055,0.01,0.006,0.006,0.006
15,45119,Exp2,24h,Hh,6,0.05,0.055,0.01,0.006,0.006,0.006
21,45132,Exp3,2h,Hh,1,1.434583572,0.055,2.425927391,0.006,0.006,0.006
22,45132,Exp3,2h,Hh,2,4.968380706,0.055,1.71221252,0.104050118,0.006,0.006
26,45140,Exp4,2h,Hh,1,0.14974519,0.137639502,0.01,0.006,0.006,0.006
27,45140,Exp4,2h,Hh,2,13.90233024,0.055,34.55891488,0.269579107,1.104419631,0.006
28,45140,Exp4,2h,Hh,3,31.87190799,0.055,6.242548369,0.006,0.006,0.006
29,45140,Exp4,2h,Hh,4,8.8649192,0.055,4.151508804,0.006,0.072697778,0.006
16,45120,Exp2,48h,Hh,1,0.05,0.055,0.01,0.006,0.006,0.006
17,45120,Exp2,48h,Hh,2,0.05,0.055,0.01,0.006,0.006,0.006
39,45147,Exp5,48h,Hh,1,0.05,0.055,0.01,0.006,0.006,0.006
40,45147,Exp5,48h,Hh,2,0.05,0.055,0.01,0.006,0.006,0.006
44,45154,Exp6,48h,Hh,1,0.05,0.055,0.01,0.006,0.006,0.006
45,45154,Exp6,48h,Hh,2,0.05,0.055,0.01,0.006,0.006,0.006
30,45140,Exp4,6h,Hh,1,0.05,0.055,5.8878048,0.006,0.006,0.006
31,45140,Exp4,6h,Hh,2,0.05,0.132685513,0.01,0.006,0.006,0.006
32,45140,Exp4,6h,Hh,3,0.05,0.055,0.01,0.006,0.006,0.006
36,45145,Exp5,6h,Hh,1,2.73001702,0.055,0.289538669,0.006,0.006,0.006
37,45145,Exp5,6h,Hh,2,0.180026927,0.055,0.01,0.006,0.006,0.006
38,45145,Exp5,6h,Hh,3,0.05,0.055,0.01,0.006,0.006,0.006
46,45156,Exp6,96h,Hh,1,0.05,0.055,0.01,0.006,0.006,0.006
47,45156,Exp6,96h,Hh,2,0.05,0.055,0.01,0.006,0.006,0.006
48,45156,Exp6,96h,Hh,3,0.05,0.055,0.01,0.006,0.006,0.006
52,45161,Exp7,48h,Hh+IAV,1,0.05,0.055,0.01,0.006,0.006,0.006
53,45161,Exp7,48h,Hh+IAV,2,0.05,0.055,0.01,0.013431967,0.006,0.006
54,45161,Exp7,48h,Hh+IAV,3,0.05,0.055,0.01,0.006,0.006,0.006
55,45161,Exp7,48h,Hh+IAV,4,0.05,0.055,0.01,0.017878957,0.006,0.006
56,45161,Exp7,48h,Hh+IAV,5,0.05,0.055,0.044608662,0.006,0.006,0.006
57,45161,Exp7,48h,Hh+IAV,6,0.05,0.055,0.01,0.006,0.006,0.006
3,45106,Exp1,1h,Naive,1,0.05,0.055,0.01,0.006,0.006,0.006
4,45106,Exp1,1h,Naive,2,0.05,0.055,0.01,0.006,0.006,0.006
5,45106,Exp1,1h,Naive,3,0.05,0.055,0.01,0.006,0.006,0.006
18,45119,Exp2,24h,Naive,1,0.05,0.055,0.01,0.006,0.006,0.006
19,45119,Exp2,24h,Naive,2,0.05,0.055,0.01,0.006,0.006,0.006
20,45119,Exp2,24h,Naive,3,0.05,0.055,0.01,0.006,0.006,0.006
23,45132,Exp3,2h,Naive,1,0.05,0.055,0.01,0.006,0.006,0.006
24,45132,Exp3,2h,Naive,2,0.05,0.055,0.01,0.006,0.006,0.006
25,45132,Exp3,2h,Naive,3,0.05,0.055,0.01,0.006,0.006,0.006
41,45147,Exp5,48h,Naive,1,0.05,0.055,0.01,0.006,0.006,0.006
42,45147,Exp5,48h,Naive,2,0.05,0.055,0.01,0.006,0.006,0.006
43,45147,Exp5,48h,Naive,3,0.05,0.055,0.01,0.006,0.006,0.006
33,45140,Exp4,6h,Naive,1,0.05,0.055,0.01,0.006,0.006,0.006
34,45140,Exp4,6h,Naive,2,0.05,0.055,0.01,0.006,0.006,0.006
35,45140,Exp4,6h,Naive,3,0.05,0.055,0.01,0.006,0.006,0.006
49,45156,Exp6,96h,Naive,1,0.05,0.055,0.01,0.006,0.006,0.006
50,45156,Exp6,96h,Naive,2,0.05,0.055,0.01,0.006,0.006,0.006
51,45156,Exp6,96h,Naive,3,0.05,0.055,0.01,0.006,0.006,0.006
