FCSFileNames,Sample,Experiment,Tissue,Mouse Number,For_Vlookup,UniqueMouseID,Treatment,Timepoint,Sex,Hh Dose,NTHi Dose,NTHi MET CFUml,Log10(CFUml),Developed OM
EXP1_Inter-run QC_Exp 1.fcs,CD45_EXP1_Inter-run QC_Exp 1.fcs,1,Inter-run QC,QC,QC,QC,QC,QC,QC,NA,NA,NA,NA,NA
EXP2_Inter-run QC_Exp 2.fcs,CD45_EXP2_Inter-run QC_Exp 2.fcs,2,Inter-run QC,QC,QC,QC,QC,QC,QC,NA,NA,NA,NA,NA
EXP3_Inter-run QC_Exp 3.fcs,CD45_EXP3_Inter-run QC_Exp.fcs,3,Inter-run QC,QC,QC,QC,QC,QC,QC,NA,NA,NA,NA,NA
EXP4_Inter-run QC_Exp 4.fcs,CD45_EXP4_Inter-run QC_Exp.fcs,4,Inter-run QC,QC,QC,QC,QC,QC,QC,NA,NA,NA,NA,NA
EXP5_Inter-run QC_Exp 5.fcs,CD45_EXP5_Inter-run QC_Exp.fcs,5,Inter-run QC,QC,QC,QC,QC,QC,QC,NA,NA,NA,NA,NA
EXP6_Inter-run QC_Exp 6.fcs,CD45_EXP6_Inter-run QC_Exp.fcs,6,Inter-run QC,QC,QC,QC,QC,QC,QC,NA,NA,NA,NA,NA
EXP7_Inter-run QC_Exp 7.fcs,CD45_EXP7_Inter-run QC_Exp 7.fcs,7,Inter-run QC,QC,QC,QC,QC,QC,QC,NA,NA,NA,NA,NA
EXP8_Inter-run QC_Exp 8.fcs,CD45_EXP8_Inter-run QC_Exp.fcs,8,Inter-run QC,QC,QC,QC,QC,QC,QC,NA,NA,NA,NA,NA
EXP9_Inter-run QC_Exp 9.fcs,CD45_EXP9_Inter-run QC_Exp.fcs,9,Inter-run QC,QC,QC,QC,QC,QC,QC,NA,NA,NA,NA,NA
EXP10_Inter-run QC_Exp 10.fcs,CD45_EXP10_Inter-run QC_Exp 10.fcs,10,Inter-run QC,QC,QC,QC,QC,QC,QC,NA,NA,NA,NA,NA
EXP11_Inter-run QC_Exp 11.fcs,CD45_EXP11_Inter-run QC_Exp11.fcs,11,Inter-run QC,QC,QC,QC,QC,QC,QC,NA,NA,NA,NA,NA
EXP12_Inter-run QC_Exp 12.fcs,CD45_EXP12_Inter-run QC_Exp12.fcs,12,Inter-run QC,QC,QC,QC,QC,QC,QC,NA,NA,NA,NA,NA
EXP13_Inter-run QC_Exp 13.fcs,CD45_EXP13_Inter-run QC_Exp13.fcs,13,Inter-run QC,QC,QC,QC,QC,QC,QC,NA,NA,NA,NA,NA
EXP14_Inter-run QC_Exp 14.fcs,CD45_EXP14_Inter-run QC_Exp14.fcs,14,Inter-run QC,QC,QC,QC,QC,QC,QC,NA,NA,NA,NA,NA
EXP15_Inter-run QC_Exp 15.fcs,CD45_EXP15_Inter-run QC_Exp15.fcs,15,Inter-run QC,QC,QC,QC,QC,QC,QC,NA,NA,NA,NA,NA
EXP16_Inter-run QC_Exp 16.fcs,CD45_EXP16_Inter-run QC_Exp16.fcs,16,Inter-run QC,QC,QC,QC,QC,QC,QC,NA,NA,NA,NA,NA
EXP17_Inter-run QC_Exp 17.fcs,CD45_EXP17_Inter-run QC_Exp17.fcs,17,Inter-run QC,QC,QC,QC,QC,QC,QC,NA,NA,NA,NA,NA
EXP18_Inter-run QC_Exp 18.fcs,CD45_EXP18_Inter-run QC_Exp.fcs,18,Inter-run QC,QC,QC,QC,QC,QC,QC,NA,NA,NA,NA,NA
EXP19_Inter-run QC_Exp 19.fcs,CD45_EXP19_Inter-run QC_Exp19.fcs,19,Inter-run QC,QC,QC,QC,QC,QC,QC,NA,NA,NA,NA,NA
EXP20_Inter-run QC_Exp 20.fcs,CD45_EXP20_Inter-run QC_Exp20.fcs,20,Inter-run QC,QC,QC,QC,QC,QC,QC,NA,NA,NA,NA,NA
EXP21_Inter-run QC_Exp 21.fcs,CD45_EXP21_Inter-run QC_Exp.fcs,21,Inter-run QC,QC,QC,QC,QC,QC,QC,NA,NA,NA,NA,NA
EXP22_Inter-run QC_Exp 22.fcs,CD45_EXP22_Inter-run QC_Exp.fcs,22,Inter-run QC,QC,QC,QC,QC,QC,QC,NA,NA,NA,NA,NA
EXP23_Inter-run QC_Exp 23.fcs,CD45_EXP23_Inter-run QC_Exp.fcs,23,Inter-run QC,QC,QC,QC,QC,QC,QC,NA,NA,NA,NA,NA
EXP24_Inter-run QC_Exp 24.fcs,CD45_EXP24_Inter-run QC_Exp.fcs,24,Inter-run QC,QC,QC,QC,QC,QC,QC,NA,NA,NA,NA,NA
EXP25_Inter-run QC_Exp 25.fcs,CD45_EXP25_Inter-run QC_Exp25.fcs,25,Inter-run QC,QC,QC,QC,QC,QC,QC,NA,NA,NA,NA,NA
EXP26_Inter-run QC_Exp 26.fcs,CD45_EXP26_Inter-run QC_Exp26.fcs,26,Inter-run QC,QC,QC,QC,QC,QC,QC,NA,NA,NA,NA,NA
EXP27_Inter-run QC_Mouse QC.fcs,CD45_EXP27_Inter-run QC_Mouse QC.fcs,27,Inter-run QC,QC,QC,QC,QC,QC,QC,NA,NA,NA,NA,NA
EXP28_Inter-run QC_Mouse QC.fcs,CD45_EXP28_Inter-run QC_Mouse QC.fcs,28,Inter-run QC,QC,QC,QC,QC,QC,QC,NA,NA,NA,NA,NA
EXP29_Inter-run QC_Mouse QC.fcs,CD45_EXP29_Inter-run QC_Mouse QC.fcs,29,Inter-run QC,QC,QC,QC,QC,QC,QC,NA,NA,NA,NA,NA
EXP30_Inter-run QC_Mouse QC.fcs,CD45_EXP30_Inter-run QC_Mouse QC.fcs,30,Inter-run QC,QC,QC,QC,QC,QC,QC,NA,NA,NA,NA,NA
EXP31_Inter-run QC_Mouse QC.fcs,CD45_EXP31_Inter-run QC_Mouse QC.fcs,31,Inter-run QC,QC,QC,QC,QC,QC,QC,NA,NA,NA,NA,NA
EXP32_Inter-run QC_Mouse QC.fcs,CD45_EXP32_Inter-run QC_Mouse QC.fcs,32,Inter-run QC,QC,QC,QC,QC,QC,QC,NA,NA,NA,NA,NA
EXP33_Inter-run QC_Mouse QC.fcs,CD45_EXP33_Inter-run QC_Mouse QC.fcs,33,Inter-run QC,QC,QC,QC,QC,QC,QC,NA,NA,NA,NA,NA
EXP34_Inter-run QC_Mouse QC.fcs,CD45_EXP34_Inter-run QC_Mouse QC.fcs,34,Inter-run QC,QC,QC,QC,QC,QC,QC,NA,NA,NA,NA,NA
EXP35_Inter-run QC_Mouse QC.fcs,CD45_EXP35_Inter-run QC_Mouse QC.fcs,35,Inter-run QC,QC,QC,QC,QC,QC,QC,NA,NA,NA,NA,NA
EXP36_Inter-run QC_Mouse QC.fcs,CD45_EXP36_Inter-run QC_Mouse QC.fcs,36,Inter-run QC,QC,QC,QC,QC,QC,QC,NA,NA,NA,NA,NA
EXP37_Inter-run QC_Mouse QC.fcs,CD45_EXP37_Inter-run QC_Mouse QC.fcs,37,Inter-run QC,QC,QC,QC,QC,QC,QC,NA,NA,NA,NA,NA
EXP38_Inter-run QC_Mouse QC.fcs,CD45_EXP38_Inter-run QC_Mouse QC.fcs,38,Inter-run QC,QC,QC,QC,QC,QC,QC,NA,NA,NA,NA,NA
EXP39_Inter-run QC_Mouse QC.fcs,CD45_EXP39_Inter-run QC_Mouse QC.fcs,39,Inter-run QC,QC,QC,QC,QC,QC,QC,NA,NA,NA,NA,NA
EXP40_Inter-run QC_Mouse QC.fcs,CD45_EXP40_Inter-run QC_Mouse QC.fcs,40,Inter-run QC,QC,QC,QC,QC,QC,QC,NA,NA,NA,NA,NA
EXP41_Inter-run QC_Mouse QC.fcs,CD45_EXP41_Inter-run QC_Mouse QC.fcs,41,Inter-run QC,QC,QC,QC,QC,QC,QC,NA,NA,NA,NA,NA
EXP1_Lung_Mouse 1.fcs,CD45_EXP1_Lung_Mouse 1.fcs,1,Lung,1,1_1,1,Hh,6,M,1.83E+07,NA,NA,NA,NA
EXP1_Lung_Mouse 2.fcs,CD45_EXP1_Lung_Mouse 2.fcs,1,Lung,2,1_2,2,Hh,6,M,1.83E+07,NA,NA,NA,NA
EXP1_Lung_Mouse 3.fcs,CD45_EXP1_Lung_Mouse 3.fcs,1,Lung,3,1_3,3,Hh,6,F,1.83E+07,NA,NA,NA,NA
EXP1_Lung_Mouse 4.fcs,CD45_EXP1_Lung_Mouse 4.fcs,1,Lung,4,1_4,4,Pam1ug,6,M,NA,NA,NA,NA,NA
EXP1_Lung_Mouse 5.fcs,CD45_EXP1_Lung_Mouse 5.fcs,1,Lung,5,1_5,5,Pam1ug,6,M,NA,NA,NA,NA,NA
EXP1_Lung_Mouse 6.fcs,CD45_EXP1_Lung_Mouse 6.fcs,1,Lung,6,1_6,6,Pam1ug,6,F,NA,NA,NA,NA,NA
EXP1_Nasal Tissue_Mouse 1.fcs,CD45_EXP1_Nasal Tissue_Mouse 1.fcs,1,Nasal Tissue,1,1_1,1,Hh,6,M,1.83E+07,NA,NA,NA,NA
EXP1_Nasal Tissue_Mouse 2.fcs,CD45_EXP1_Nasal Tissue_Mouse 2.fcs,1,Nasal Tissue,2,1_2,2,Hh,6,M,1.83E+07,NA,NA,NA,NA
EXP1_Nasal Tissue_Mouse 3.fcs,CD45_EXP1_Nasal Tissue_Mouse 3.fcs,1,Nasal Tissue,3,1_3,3,Hh,6,F,1.83E+07,NA,NA,NA,NA
EXP1_Nasal Tissue_Mouse 4.fcs,CD45_EXP1_Nasal Tissue_Mouse 4.fcs,1,Nasal Tissue,4,1_4,4,Pam1ug,6,M,NA,NA,NA,NA,NA
EXP1_Nasal Tissue_Mouse 5.fcs,CD45_EXP1_Nasal Tissue_Mouse 5.fcs,1,Nasal Tissue,5,1_5,5,Pam1ug,6,M,NA,NA,NA,NA,NA
EXP1_Nasal Tissue_Mouse 6.fcs,CD45_EXP1_Nasal Tissue_Mouse 6.fcs,1,Nasal Tissue,6,1_6,6,Pam1ug,6,F,NA,NA,NA,NA,NA
EXP1_Spleen_Mouse 1.fcs,CD45_EXP1_Spleen_Mouse 1.fcs,1,Spleen,1,1_1,1,Hh,6,M,1.83E+07,NA,NA,NA,NA
EXP1_Spleen_Mouse 2.fcs,CD45_EXP1_Spleen_Mouse 2.fcs,1,Spleen,2,1_2,2,Hh,6,M,1.83E+07,NA,NA,NA,NA
EXP1_Spleen_Mouse 3.fcs,CD45_EXP1_Spleen_Mouse 3.fcs,1,Spleen,3,1_3,3,Hh,6,F,1.83E+07,NA,NA,NA,NA
EXP1_Spleen_Mouse 4.fcs,CD45_EXP1_Spleen_Mouse 4.fcs,1,Spleen,4,1_4,4,Pam1ug,6,M,NA,NA,NA,NA,NA
EXP1_Spleen_Mouse 5.fcs,CD45_EXP1_Spleen_Mouse 5.fcs,1,Spleen,5,1_5,5,Pam1ug,6,M,NA,NA,NA,NA,NA
EXP1_Spleen_Mouse 6.fcs,CD45_EXP1_Spleen_Mouse 6.fcs,1,Spleen,6,1_6,6,Pam1ug,6,F,NA,NA,NA,NA,NA
EXP2_Lung_Mouse 1.fcs,CD45_EXP2_Lung_Mouse 1.fcs,2,Lung,1,2_1,7,Hh,24,M,1.83E+07,NA,NA,NA,NA
EXP2_Lung_Mouse 2.fcs,CD45_EXP2_Lung_Mouse 2.fcs,2,Lung,2,2_2,8,Hh,24,M,1.83E+07,NA,NA,NA,NA
EXP2_Lung_Mouse 3.fcs,CD45_EXP2_Lung_Mouse 3.fcs,2,Lung,3,2_3,9,Hh,24,F,1.83E+07,NA,NA,NA,NA
EXP2_Lung_Mouse 4.fcs,CD45_EXP2_Lung_Mouse 4.fcs,2,Lung,4,2_4,10,Pam1ug,24,M,NA,NA,NA,NA,NA
EXP2_Lung_Mouse 5.fcs,CD45_EXP2_Lung_Mouse 5.fcs,2,Lung,5,2_5,11,Pam1ug,24,M,NA,NA,NA,NA,NA
EXP2_Lung_Mouse 6.fcs,CD45_EXP2_Lung_Mouse 6.fcs,2,Lung,6,2_6,12,Pam1ug,24,F,NA,NA,NA,NA,NA
EXP2_Nasal Tissue_Mouse 1.fcs,CD45_EXP2_Nasal Tissue_Mouse 1.fcs,2,Nasal Tissue,1,2_1,7,Hh,24,M,1.83E+07,NA,NA,NA,NA
