"","Cell_ID","Tissue","Timepoint","Treatment1","Treatment2","p.value","significance"
"1","Neutrophils","Lung","144","Hh","Hh+IAV",0.556025853474222,""
"2","Neutrophils","Lung","144","Hh","Hh+IAV+NTHi",0.561739057011099,""
"3","Neutrophils","Lung","144","Hh","Hh+NTHi",0.744612420495547,""
"4","Neutrophils","Lung","144","Hh","Pam1ug",0.948318122273211,""
"5","Neutrophils","Lung","144","Hh","Pam1ug+IAV",0.283955577272821,""
"6","Neutrophils","Lung","144","Hh","Pam1ug+IAV+NTHi",0.556025853474222,""
"7","Neutrophils","Lung","144","Hh","Pam1ug+NTHi",0.802122129836327,""
"8","Neutrophils","Lung","144","Hh","Saline",0.802122129836327,""
"9","Neutrophils","Lung","144","Hh","Saline+IAV",0.45907974910908,""
"10","Neutrophils","Lung","144","Hh","Saline+IAV+NTHi",0.423052279528199,""
"11","Neutrophils","Lung","144","Hh","Saline+NTHi",0.749342282967256,""
"12","Neutrophils","Lung","144","Hh+IAV","Hh+IAV+NTHi",0.961029653640135,""
"13","Neutrophils","Lung","144","Hh+IAV","Hh+NTHi",0.802122129836327,""
"14","Neutrophils","Lung","144","Hh+IAV","Pam1ug",0.556025853474222,""
"15","Neutrophils","Lung","144","Hh+IAV","Pam1ug+IAV",0.556025853474222,""
"16","Neutrophils","Lung","144","Hh+IAV","Pam1ug+IAV+NTHi",0.976914968900267,""
"17","Neutrophils","Lung","144","Hh+IAV","Pam1ug+NTHi",0.749342282967256,""
"18","Neutrophils","Lung","144","Hh+IAV","Saline",0.45907974910908,""
"19","Neutrophils","Lung","144","Hh+IAV","Saline+IAV",0.8151213382601,""
"20","Neutrophils","Lung","144","Hh+IAV","Saline+IAV+NTHi",0.749342282967256,""
"21","Neutrophils","Lung","144","Hh+IAV","Saline+NTHi",0.802122129836327,""
"22","Neutrophils","Lung","144","Hh+IAV+NTHi","Hh+NTHi",0.829269346750297,""
"23","Neutrophils","Lung","144","Hh+IAV+NTHi","Pam1ug",0.556025853474222,""
"24","Neutrophils","Lung","144","Hh+IAV+NTHi","Pam1ug+IAV",0.556025853474222,""
"25","Neutrophils","Lung","144","Hh+IAV+NTHi","Pam1ug+IAV+NTHi",0.961029653640135,""
"26","Neutrophils","Lung","144","Hh+IAV+NTHi","Pam1ug+NTHi",0.785552464832085,""
"27","Neutrophils","Lung","144","Hh+IAV+NTHi","Saline",0.486904224391897,""
"28","Neutrophils","Lung","144","Hh+IAV+NTHi","Saline+IAV",0.802122129836327,""
"29","Neutrophils","Lung","144","Hh+IAV+NTHi","Saline+IAV+NTHi",0.744612420495547,""
"30","Neutrophils","Lung","144","Hh+IAV+NTHi","Saline+NTHi",0.802122129836327,""
"31","Neutrophils","Lung","144","Hh+NTHi","Pam1ug",0.704589981414645,""
"32","Neutrophils","Lung","144","Hh+NTHi","Pam1ug+IAV",0.45907974910908,""
"33","Neutrophils","Lung","144","Hh+NTHi","Pam1ug+IAV+NTHi",0.802122129836327,""
"34","Neutrophils","Lung","144","Hh+NTHi","Pam1ug+NTHi",0.875042390056192,""
"35","Neutrophils","Lung","144","Hh+NTHi","Saline",0.556025853474222,""
"36","Neutrophils","Lung","144","Hh+NTHi","Saline+IAV",0.728916425379875,""
"37","Neutrophils","Lung","144","Hh+NTHi","Saline+IAV+NTHi",0.561739057011099,""
"38","Neutrophils","Lung","144","Hh+NTHi","Saline+NTHi",0.961029653640135,""
