"","Cell_ID","Tissue","Timepoint","Treatment1","Treatment2","ratio","SE","df","null","p.value","significance"
"1","Neutrophils","Lung","144","Hh","Hh+IAV",0.463600390487981,0.14848574546183,Inf,1,0.0901416821883994,""
"2","Neutrophils","Lung","144","Hh","Hh+IAV+NTHi",0.490058356286064,0.157737125356488,Inf,1,0.117482267471263,""
"3","Neutrophils","Lung","144","Hh","Hh+NTHi",0.65674189742744,0.210363736560781,Inf,1,0.390977323019768,""
"4","Neutrophils","Lung","144","Hh","Pam1ug",1.04656000567769,0.336341046221539,Inf,1,0.904991197924587,""
"5","Neutrophils","Lung","144","Hh","Pam1ug+IAV",0.381962419174876,0.12207034725105,Inf,1,0.0404239380654668,"*"
"6","Neutrophils","Lung","144","Hh","Pam1ug+IAV+NTHi",0.571232712308397,0.182515949673217,Inf,1,0.250425498445512,""
"7","Neutrophils","Lung","144","Hh","Pam1ug+NTHi",0.742489412076383,0.237282289365741,Inf,1,0.539505938161482,""
"8","Neutrophils","Lung","144","Hh","Saline",1.12562709141396,0.361229768526163,Inf,1,0.810555922615708,""
"9","Neutrophils","Lung","144","Hh","Saline+IAV",0.484284395583271,0.154755351542252,Inf,1,0.109681558821612,""
"10","Neutrophils","Lung","144","Hh","Saline+IAV+NTHi",0.404115652600388,0.129492032235006,Inf,1,0.0515894423228812,""
"11","Neutrophils","Lung","144","Hh","Saline+NTHi",0.701392010082297,0.22442077713344,Inf,1,0.457364404793253,""
"12","Neutrophils","Lung","144","Hh+IAV","Hh+IAV+NTHi",1.05707062880218,0.340024034227744,Inf,1,0.904105763721665,""
"13","Neutrophils","Lung","144","Hh+IAV","Hh+NTHi",1.41661204542162,0.453466931704272,Inf,1,0.457364404793253,""
"14","Neutrophils","Lung","144","Hh+IAV","Pam1ug",2.25746144125567,0.725045304071049,Inf,1,0.0741779445587068,""
"15","Neutrophils","Lung","144","Hh+IAV","Pam1ug+IAV",0.823904437985539,0.263141851283868,Inf,1,0.710536595328575,""
"16","Neutrophils","Lung","144","Hh+IAV","Pam1ug+IAV+NTHi",1.23216615867628,0.393424678775957,Inf,1,0.700240845367834,""
"17","Neutrophils","Lung","144","Hh+IAV","Pam1ug+NTHi",1.6015720161384,0.511478368466049,Inf,1,0.342887174415839,""
"18","Neutrophils","Lung","144","Hh+IAV","Saline",2.4280115256787,0.778662338716457,Inf,1,0.0534968030786415,""
"19","Neutrophils","Lung","144","Hh+IAV","Saline+IAV",1.04461602172837,0.333588855777775,Inf,1,0.904991197924587,""
"20","Neutrophils","Lung","144","Hh+IAV","Saline+IAV+NTHi",0.871689629456567,0.279128961483224,Inf,1,0.787331337203485,""
"21","Neutrophils","Lung","144","Hh+IAV","Saline+NTHi",1.51292368270876,0.483755343040568,Inf,1,0.390977323019768,""
"22","Neutrophils","Lung","144","Hh+IAV+NTHi","Hh+NTHi",1.34012998452796,0.431112459293282,Inf,1,0.544173254038438,""
"23","Neutrophils","Lung","144","Hh+IAV+NTHi","Pam1ug",2.13558241024416,0.68926999881279,Inf,1,0.0951010910973388,""
"24","Neutrophils","Lung","144","Hh+IAV+NTHi","Pam1ug+IAV",0.779422316292289,0.250172663534379,Inf,1,0.627736694197807,""
"25","Neutrophils","Lung","144","Hh+IAV+NTHi","Pam1ug+IAV+NTHi",1.16564222399454,0.374047587988334,Inf,1,0.773551268248855,""
"26","Neutrophils","Lung","144","Hh+IAV+NTHi","Pam1ug+NTHi",1.51510407393802,0.486284986188037,Inf,1,0.390977323019768,""
"27","Neutrophils","Lung","144","Hh+IAV+NTHi","Saline",2.2969245947454,0.740276311388983,Inf,1,0.0724129838805719,""
"28","Neutrophils","Lung","144","Hh+IAV+NTHi","Saline+IAV",0.988217809922576,0.317155623200693,Inf,1,0.970540948502968,""
"29","Neutrophils","Lung","144","Hh+IAV+NTHi","Saline+IAV+NTHi",0.824627613052049,0.265373911265558,Inf,1,0.710536595328575,""
"30","Neutrophils","Lung","144","Hh+IAV+NTHi","Saline+NTHi",1.43124181250135,0.459921880950219,Inf,1,0.457364404793253,""
"31","Neutrophils","Lung","144","Hh+NTHi","Pam1ug",1.5935636355427,0.511850612577458,Inf,1,0.346158028763356,""
"32","Neutrophils","Lung","144","Hh+NTHi","Pam1ug+IAV",0.581602027632289,0.185767824044372,Inf,1,0.255678415961676,""
"33","Neutrophils","Lung","144","Hh+NTHi","Pam1ug+IAV+NTHi",0.869797883378545,0.277752967763381,Inf,1,0.787331337203485,""
"34","Neutrophils","Lung","144","Hh+NTHi","Pam1ug+NTHi",1.13056501341673,0.361096631571246,Inf,1,0.810555922615708,""
"35","Neutrophils","Lung","144","Hh+NTHi","Saline",1.71395657232045,0.549722937241701,Inf,1,0.255678415961676,""
"36","Neutrophils","Lung","144","Hh+NTHi","Saline+IAV",0.737404446831074,0.235507227745242,Inf,1,0.534574780419014,""
"37","Neutrophils","Lung","144","Hh+NTHi","Saline+IAV+NTHi",0.615334051601354,0.197061722116978,Inf,1,0.341746569035486,""
"38","Neutrophils","Lung","144","Hh+NTHi","Saline+NTHi",1.06798730647421,0.341524420165399,Inf,1,0.904105763721665,""
"39","Neutrophils","Lung","144","Pam1ug","Pam1ug+IAV",0.364969439977349,0.116962409147061,Inf,1,0.0365165512445243,"*"
"40","Neutrophils","Lung","144","Pam1ug","Pam1ug+IAV+NTHi",0.545819359816357,0.174882371946567,Inf,1,0.194032443803758,""
"41","Neutrophils","Lung","144","Pam1ug","Pam1ug+NTHi",0.709457086118625,0.227357652026353,Inf,1,0.457364404793253,""
"42","Neutrophils","Lung","144","Pam1ug","Saline",1.0755495005612,0.346112431741893,Inf,1,0.904105763721665,""
"43","Neutrophils","Lung","144","Pam1ug","Saline+IAV",0.462739253321341,0.148281955788522,Inf,1,0.0901416821883994,""
"44","Neutrophils","Lung","144","Pam1ug","Saline+IAV+NTHi",0.386137106719178,0.124074238780345,Inf,1,0.0404239380654668,"*"
"45","Neutrophils","Lung","144","Pam1ug","Saline+NTHi",0.670188050639408,0.21503263080694,Inf,1,0.400323240028636,""
"46","Neutrophils","Lung","144","Pam1ug+IAV","Pam1ug+IAV+NTHi",1.49552072044781,0.47648156364348,Inf,1,0.400323240028636,""
"47","Neutrophils","Lung","144","Pam1ug+IAV","Pam1ug+NTHi",1.94388079769818,0.619456465205594,Inf,1,0.14362941361285,""
"48","Neutrophils","Lung","144","Pam1ug+IAV","Saline",2.94695769768547,0.943059145527106,Inf,1,0.0365165512445243,"*"
"49","Neutrophils","Lung","144","Pam1ug+IAV","Saline+IAV",1.26788493127003,0.404007856731528,Inf,1,0.640833850807853,""
"50","Neutrophils","Lung","144","Pam1ug+IAV","Saline+IAV+NTHi",1.0579984634964,0.338061415638704,Inf,1,0.904105763721665,""
"51","Neutrophils","Lung","144","Pam1ug+IAV","Saline+NTHi",1.8362853905823,0.58588380236185,Inf,1,0.194032443803758,""
"52","Neutrophils","Lung","144","Pam1ug+IAV+NTHi","Pam1ug+NTHi",1.29980198276097,0.414094310380756,Inf,1,0.602030109158732,""
"53","Neutrophils","Lung","144","Pam1ug+IAV+NTHi","Saline",1.97052281348737,0.63041995283381,Inf,1,0.140212513289823,""
"54","Neutrophils","Lung","144","Pam1ug+IAV+NTHi","Saline+IAV",0.847788274635462,0.270074270380912,Inf,1,0.752425623087864,""
"55","Neutrophils","Lung","144","Pam1ug+IAV+NTHi","Saline+IAV+NTHi",0.707444871228267,0.225986572767041,Inf,1,0.457364404793253,""
"56","Neutrophils","Lung","144","Pam1ug+IAV+NTHi","Saline+NTHi",1.22785686983491,0.391651990655529,Inf,1,0.700240845367834,""
"57","Neutrophils","Lung","144","Pam1ug+NTHi","Saline",1.51601770086678,0.485110500161988,Inf,1,0.390977323019768,""
"58","Neutrophils","Lung","144","Pam1ug+NTHi","Saline+IAV",0.652244177097371,0.207823426185295,Inf,1,0.390977323019768,""
"59","Neutrophils","Lung","144","Pam1ug+NTHi","Saline+IAV+NTHi",0.544271266401324,0.173897697025608,Inf,1,0.194032443803758,""
"60","Neutrophils","Lung","144","Pam1ug+NTHi","Saline+NTHi",0.944649174350976,0.301378085910768,Inf,1,0.904105763721665,""
"61","Neutrophils","Lung","144","Saline","Saline+IAV",0.43023519891915,0.137662518500836,Inf,1,0.0692209280612015,""
"62","Neutrophils","Lung","144","Saline","Saline+IAV+NTHi",0.35901379389577,0.115187547524437,Inf,1,0.0365165512445243,"*"
"63","Neutrophils","Lung","144","Saline","Saline+NTHi",0.623112232667782,0.199631259660242,Inf,1,0.342887174415839,""
"64","Neutrophils","Lung","144","Saline+IAV","Saline+IAV+NTHi",0.834459371984661,0.26659848119208,Inf,1,0.724847453976366,""
"65","Neutrophils","Lung","144","Saline+IAV","Saline+NTHi",1.44830602943037,0.462035109534576,Inf,1,0.450307989078274,""
"66","Neutrophils","Lung","144","Saline+IAV+NTHi","Saline+NTHi",1.73562198239293,0.55521479828049,Inf,1,0.254345656321565,""
"67","Neutrophils","Nasal Tissue","144","Hh","Hh+IAV",0.940023894647648,0.297637720813686,Inf,1,0.985904149039589,""
"68","Neutrophils","Nasal Tissue","144","Hh","Hh+IAV+NTHi",0.976178383107216,0.308616534929847,Inf,1,0.985904149039589,""
"69","Neutrophils","Nasal Tissue","144","Hh","Hh+NTHi",1.04646846973052,0.330871413242446,Inf,1,0.985904149039589,""
"70","Neutrophils","Nasal Tissue","144","Hh","Pam1ug",0.671168830549048,0.211964334116149,Inf,1,0.985904149039589,""
"71","Neutrophils","Nasal Tissue","144","Hh","Pam1ug+IAV",0.655333439970946,0.20702669590043,Inf,1,0.985904149039589,""
"72","Neutrophils","Nasal Tissue","144","Hh","Pam1ug+IAV+NTHi",0.763019639311703,0.241124719150011,Inf,1,0.985904149039589,""
"73","Neutrophils","Nasal Tissue","144","Hh","Pam1ug+NTHi",0.830335785702054,0.262494319529943,Inf,1,0.985904149039589,""
"74","Neutrophils","Nasal Tissue","144","Hh","Saline",1.02643006227215,0.324171885539824,Inf,1,0.985904149039589,""
"75","Neutrophils","Nasal Tissue","144","Hh","Saline+IAV",0.986745175778783,0.311522879680723,Inf,1,0.985904149039589,""
"76","Neutrophils","Nasal Tissue","144","Hh","Saline+IAV+NTHi",0.970737413392168,0.306773290129601,Inf,1,0.985904149039589,""
"77","Neutrophils","Nasal Tissue","144","Hh","Saline+NTHi",1.08765276729532,0.343576227196226,Inf,1,0.985904149039589,""
"78","Neutrophils","Nasal Tissue","144","Hh+IAV","Hh+IAV+NTHi",1.03846124408691,0.329161303349075,Inf,1,0.985904149039589,""
"79","Neutrophils","Nasal Tissue","144","Hh+IAV","Hh+NTHi",1.11323603122107,0.35289559968409,Inf,1,0.985904149039589,""
"80","Neutrophils","Nasal Tissue","144","Hh+IAV","Pam1ug",0.713991244659396,0.226076165857209,Inf,1,0.985904149039589,""
"81","Neutrophils","Nasal Tissue","144","Hh+IAV","Pam1ug+IAV",0.697145512685702,0.220810004040754,Inf,1,0.985904149039589,""
"82","Neutrophils","Nasal Tissue","144","Hh+IAV","Pam1ug+IAV+NTHi",0.81170238720124,0.257176949272507,Inf,1,0.985904149039589,""
"83","Neutrophils","Nasal Tissue","144","Hh+IAV","Pam1ug+NTHi",0.883313488550512,0.279968172147008,Inf,1,0.985904149039589,""
"84","Neutrophils","Nasal Tissue","144","Hh+IAV","Saline",1.09191911835059,0.345751707503604,Inf,1,0.985904149039589,""
"85","Neutrophils","Nasal Tissue","144","Hh+IAV","Saline+IAV",1.04970222714248,0.332261477243575,Inf,1,0.985904149039589,""
"86","Neutrophils","Nasal Tissue","144","Hh+IAV","Saline+IAV+NTHi",1.03267312556564,0.327195322518993,Inf,1,0.985904149039589,""
"87","Neutrophils","Nasal Tissue","144","Hh+IAV","Saline+NTHi",1.15704800004366,0.366448241180123,Inf,1,0.985904149039589,""
"88","Neutrophils","Nasal Tissue","144","Hh+IAV+NTHi","Hh+NTHi",1.07200537098514,0.339313221104486,Inf,1,0.985904149039589,""
"89","Neutrophils","Nasal Tissue","144","Hh+IAV+NTHi","Pam1ug",0.687547319387149,0.217372458906909,Inf,1,0.985904149039589,""
"90","Neutrophils","Nasal Tissue","144","Hh+IAV+NTHi","Pam1ug+IAV",0.671325498814051,0.21230849821982,Inf,1,0.985904149039589,""
"91","Neutrophils","Nasal Tissue","144","Hh+IAV+NTHi","Pam1ug+IAV+NTHi",0.781639557396242,0.247276566647518,Inf,1,0.985904149039589,""
"92","Neutrophils","Nasal Tissue","144","Hh+IAV+NTHi","Pam1ug+NTHi",0.850598415280475,0.269191325918914,Inf,1,0.985904149039589,""
"93","Neutrophils","Nasal Tissue","144","Hh+IAV+NTHi","Saline",1.05147796758721,0.33244372356679,Inf,1,0.985904149039589,""
"94","Neutrophils","Nasal Tissue","144","Hh+IAV+NTHi","Saline+IAV",1.0108246534183,0.319472151324199,Inf,1,0.985904149039589,""
"95","Neutrophils","Nasal Tissue","144","Hh+IAV+NTHi","Saline+IAV+NTHi",0.994426254658776,0.314600216706116,Inf,1,0.985904149039589,""
"96","Neutrophils","Nasal Tissue","144","Hh+IAV+NTHi","Saline+NTHi",1.11419468625527,0.35234274585669,Inf,1,0.985904149039589,""
