Tissue,Timepoint,Treatment,Cell_ID,mean_Proportion_idPerSample,sem_Proportion_idPerSample
Lung,2,Hh,B-cells,0.306714452,0.01848907439180029
Lung,2,Hh,CD103+CD4+ T-cells,0.0093503835,4.928315950218528e-4
Lung,2,Hh,CD206+ Macrophages,0.0069661415,9.94866557852149e-4
Lung,2,Hh,CD4+ T-cells,0.24143409483333333,0.011233083430708427
Lung,2,Hh,CD64+MHCII- Macrophages,5.679341666666667e-4,9.856698147433101e-5
Lung,2,Hh,Drop,0.0876690495,0.006420451087665098
Lung,2,Hh,Ly6C(hi)CD64(hi) Monocytes,0.011801042166666668,0.0017126714979415916
Lung,2,Hh,Ly6C+ NK cells,0.048254024666666666,0.00403946399341632
Lung,2,Hh,Ly6C+CD8+ T-cells,0.056388199666666666,0.004290144085703834
Lung,2,Hh,Ly6C- NK cells,0.05913116783333333,0.0023679542650361933
Lung,2,Hh,Ly6C-CD8+ T-cells,0.04837630466666667,0.0038129473727056148
Lung,2,Hh,Monocytes,0.0087486545,0.001022422712843038
Lung,2,Hh,Neutrophils,0.025903064,0.0050079054504603695
Lung,2,Hh,Unknown Myeloid,0.042019605333333335,0.0037862150123792555
Lung,2,Hh,cDC1,0.004422864166666667,5.255446897068106e-4
Lung,2,Hh,cDC2,0.001464923,1.8408046128708686e-4
Lung,2,Hh,moDCs,0.036646847499999996,0.004773084817915215
Lung,2,Hh,pDCs,0.0041412474999999995,3.5078357426583797e-4
Lung,2,Hh+IAV,B-cells,0.306714452,0.01848907439180029
Lung,2,Hh+IAV,CD103+CD4+ T-cells,0.0093503835,4.928315950218528e-4
Lung,2,Hh+IAV,CD206+ Macrophages,0.0069661415,9.94866557852149e-4
Lung,2,Hh+IAV,CD4+ T-cells,0.24143409483333333,0.011233083430708427
Lung,2,Hh+IAV,CD64+MHCII- Macrophages,5.679341666666667e-4,9.856698147433101e-5
Lung,2,Hh+IAV,Drop,0.0876690495,0.006420451087665098
Lung,2,Hh+IAV,Ly6C(hi)CD64(hi) Monocytes,0.011801042166666668,0.0017126714979415916
Lung,2,Hh+IAV,Ly6C+ NK cells,0.048254024666666666,0.00403946399341632
Lung,2,Hh+IAV,Ly6C+CD8+ T-cells,0.056388199666666666,0.004290144085703834
Lung,2,Hh+IAV,Ly6C- NK cells,0.05913116783333333,0.0023679542650361933
Lung,2,Hh+IAV,Ly6C-CD8+ T-cells,0.04837630466666667,0.0038129473727056148
Lung,2,Hh+IAV,Monocytes,0.0087486545,0.001022422712843038
Lung,2,Hh+IAV,Neutrophils,0.025903064,0.0050079054504603695
Lung,2,Hh+IAV,Unknown Myeloid,0.042019605333333335,0.0037862150123792555
Lung,2,Hh+IAV,cDC1,0.004422864166666667,5.255446897068106e-4
Lung,2,Hh+IAV,cDC2,0.001464923,1.8408046128708686e-4
Lung,2,Hh+IAV,moDCs,0.036646847499999996,0.004773084817915215
Lung,2,Hh+IAV,pDCs,0.0041412474999999995,3.5078357426583797e-4
Lung,2,Hh+IAV+NTHi,B-cells,0.306714452,0.01848907439180029
Lung,2,Hh+IAV+NTHi,CD103+CD4+ T-cells,0.0093503835,4.928315950218528e-4
Lung,2,Hh+IAV+NTHi,CD206+ Macrophages,0.0069661415,9.94866557852149e-4
Lung,2,Hh+IAV+NTHi,CD4+ T-cells,0.24143409483333333,0.011233083430708427
Lung,2,Hh+IAV+NTHi,CD64+MHCII- Macrophages,5.679341666666667e-4,9.856698147433101e-5
Lung,2,Hh+IAV+NTHi,Drop,0.0876690495,0.006420451087665098
Lung,2,Hh+IAV+NTHi,Ly6C(hi)CD64(hi) Monocytes,0.011801042166666668,0.0017126714979415916
