Treatment,Tissue,Timepoint,Cell_ID,mean,median,q1,q3,comparison
Hh,Lung,2,B-cells,30.6714452,30.846941100000002,28.553073974999997,32.4855279,99.43107519338442
Hh,Lung,2,CD103+CD4+ T-cells,0.93503835,0.9135276500000001,0.8475003249999999,1.006664025,102.35468515922861
Hh,Lung,2,CD206+ Macrophages,0.69661415,0.6812325499999999,0.5171251499999999,0.87799795,102.25790737685688
Hh,Lung,2,CD4+ T-cells,24.143409483333333,23.76680405,21.737792625,26.093128525000004,101.58458593145734
Hh,Lung,2,CD64+MHCII- Macrophages,0.056793416666666666,0.0554694,0.040023625,0.0781922,102.38693165360841
Hh,Lung,2,Drop,8.76690495,8.94310075,7.731647999999999,9.975914375,98.02981309362976
Hh,Lung,2,Ly6C(hi)CD64(hi) Monocytes,1.1801042166666669,1.1407291,0.856133575,1.5079009,103.45174999626703
Hh,Lung,2,Ly6C+ NK cells,4.825402466666667,4.8730355,4.244535675,4.99486825,99.02251823666514
Hh,Lung,2,Ly6C+CD8+ T-cells,5.6388199666666665,5.95613615,5.643223625,6.2894343500000005,94.67244912906611
Hh,Lung,2,Ly6C- NK cells,5.913116783333333,5.94032055,5.568823575000001,6.3570846,99.54204884336305
Hh,Lung,2,Ly6C-CD8+ T-cells,4.837630466666667,4.40342435,4.146563225,5.5553972,109.86064667300728
Hh,Lung,2,Monocytes,0.8748654499999999,0.88255795,0.72572285,1.044456075,99.128385847071
Hh,Lung,2,Neutrophils,2.5903064,2.0591149,1.7635135,3.2086065249999995,125.79707912365647
Hh,Lung,2,Unknown Myeloid,4.201960533333334,4.0659167,3.6119215999999996,4.845538175,103.34595721878253
Hh,Lung,2,cDC1,0.4422864166666667,0.42884595000000003,0.33801085,0.5130106249999999,103.13410134027536
Hh,Lung,2,cDC2,0.1464923,0.13335035,0.11926445000000001,0.14737377499999998,109.85520472949639
Hh,Lung,2,moDCs,3.6646847499999997,3.12093285,2.926516075,4.4639192,117.42273628219844
Hh,Lung,2,pDCs,0.41412474999999993,0.41039995,0.40139234999999995,0.417219725,100.90760244975661
Hh,Lung,6,B-cells,19.992282833333334,20.11392705,18.52784915,21.472971474999998,99.39522393432034
Hh,Lung,6,CD103+CD4+ T-cells,0.6003521166666667,0.51508015,0.47977037499999997,0.616942975,116.55508694455933
Hh,Lung,6,CD206+ Macrophages,0.8080809333333333,0.9895160000000001,0.5435102500000001,1.102880475,81.6642614503791
Hh,Lung,6,CD4+ T-cells,21.06780895,19.025754550000002,17.2616786,22.9622196,110.73310598343653
Hh,Lung,6,CD64+MHCII- Macrophages,0.08258795000000001,0.08795940000000001,0.05572427499999999,0.105549875,93.8932621186593
Hh,Lung,6,Drop,4.2646521,4.36272185,3.4393946999999994,5.066768499999999,97.75209712257957
Hh,Lung,6,Ly6C(hi)CD64(hi) Monocytes,2.5170652166666665,2.61651325,2.3981207,2.8210238999999997,96.1992153743791
Hh,Lung,6,Ly6C+ NK cells,3.491603716666667,3.24380715,3.0119137,3.3080242250000005,107.6390659249477
Hh,Lung,6,Ly6C+CD8+ T-cells,4.95891895,4.86600215,4.23929845,5.453378925000001,101.9095100482025
Hh,Lung,6,Ly6C- NK cells,4.056966433333333,3.34465995,2.76400785,4.819577325,121.2968281972382
Hh,Lung,6,Ly6C-CD8+ T-cells,4.1140263500000005,3.4848875500000003,3.187060675,5.4198923500000005,118.05334579590667
Hh,Lung,6,Monocytes,1.3138377333333333,1.257196,1.156248,1.483132775,104.50540196861375
Hh,Lung,6,Neutrophils,25.032316683333335,28.801860899999998,17.6326708,34.160688125,86.91215046918491
Hh,Lung,6,Unknown Myeloid,4.286185083333334,4.099755350000001,3.7046923250000003,4.502102975,104.54733800965302
Hh,Lung,6,cDC1,0.47745608333333334,0.5537336,0.416363425,0.5925510749999999,86.22487118956359
Hh,Lung,6,cDC2,0.09646516666666667,0.09164320000000001,0.080062425,0.11231105000000001,105.26167426133817
Hh,Lung,6,moDCs,2.4571343666666667,2.81009465,1.6541439499999997,3.2239217,87.4395589012159
Hh,Lung,6,pDCs,0.3822593,0.37197015000000005,0.30428235,0.471896025,102.7661224966573
Hh,Lung,24,B-cells,26.0676619,26.163394,19.3554483,29.64534245,99.63409907751264
Hh,Lung,24,CD103+CD4+ T-cells,1.3125002166666666,1.2915332499999999,0.940695175,1.87108525,101.6234167154943
Hh,Lung,24,CD206+ Macrophages,0.5585704833333334,0.5347877,0.522204375,0.697876525,104.44714478910666
Hh,Lung,24,CD4+ T-cells,17.65902285,16.309715,15.865041675000002,18.8141215,108.27303144168981
Hh,Lung,24,CD64+MHCII- Macrophages,0.21034668333333334,0.18242375,0.1494709,0.22681199999999999,115.30663267986397
Hh,Lung,24,Drop,4.982668533333333,4.346949,3.3942174749999996,6.405301874999999,114.62449946694413
Hh,Lung,24,Ly6C(hi)CD64(hi) Monocytes,2.1878430166666667,1.8695676,1.4689062999999998,2.5150378250000003,117.02401221901077
Hh,Lung,24,Ly6C+ NK cells,3.4071350833333334,3.2612593499999996,2.67674155,3.516052475,104.47298781476346
Hh,Lung,24,Ly6C+CD8+ T-cells,4.922568716666667,5.07514425,4.589163125,5.23309945,96.99367100091129
Hh,Lung,24,Ly6C- NK cells,4.93968,4.7930776,4.155746124999999,5.0761369,103.05862771760674
Hh,Lung,24,Ly6C-CD8+ T-cells,9.32471745,3.4836623999999996,3.1049564750000003,3.96780505,267.66995131330754
Hh,Lung,24,Monocytes,0.7455131833333333,0.5824855,0.4646959,0.821853025,127.9882818256134
Hh,Lung,24,Neutrophils,15.149233916666665,14.185039,4.86351785,22.819260675,106.79726658958543
Hh,Lung,24,Unknown Myeloid,5.1597672,5.39308955,5.0988601000000005,6.2019993,95.67367929204885
Hh,Lung,24,cDC1,0.4915755666666667,0.42730045,0.39780762500000005,0.5507952,115.04213643272941
Hh,Lung,24,cDC2,0.21750379999999997,0.2567448,0.1682287,0.2605211,84.71595140388432
Hh,Lung,24,moDCs,1.8152307666666665,1.9385861,1.5020689,2.288746275,93.63684010045603
Hh,Lung,24,pDCs,0.84846065,0.8312558000000001,0.7503227,0.991157675,102.06974194946969
Hh,Lung,48,B-cells,39.77062443333333,42.156469800000004,36.098835325,44.12246675,94.34050009883258
Hh,Lung,48,CD103+CD4+ T-cells,0.7454608833333334,0.7216251499999999,0.6600019,0.78551145,103.30306300069134
Hh,Lung,48,CD206+ Macrophages,0.5865139833333333,0.46414485,0.4080208,0.695118125,126.36442768530843
Hh,Lung,48,CD4+ T-cells,18.1240612,17.26546225,15.431095424999999,21.065553949999998,104.97292767241144
Hh,Lung,48,CD64+MHCII- Macrophages,0.09031865,0.0797763,0.075511375,0.0852668,113.21488963514228
Hh,Lung,48,Drop,7.081575383333333,6.9571465,6.635263425,7.5418403,101.78850457343873
Hh,Lung,48,Ly6C(hi)CD64(hi) Monocytes,1.8259712333333333,1.6752310499999998,1.3030806750000001,2.020581075,108.99817271971727
Hh,Lung,48,Ly6C+ NK cells,4.4044881333333334,4.2989917,3.80309875,4.852991275,102.45398085633272
Hh,Lung,48,Ly6C+CD8+ T-cells,5.054047183333334,4.99509665,4.504227725,5.605211000000001,101.18016802204086
Hh,Lung,48,Ly6C- NK cells,4.873457766666666,4.44547425,4.1842216500000005,5.52764805,109.62739839662025
Hh,Lung,48,Ly6C-CD8+ T-cells,3.8720763166666665,3.393309,3.266580375,4.071975074999999,114.1091576589891
Hh,Lung,48,Monocytes,1.419985,1.2146989000000001,1.066190825,1.330770525,116.90016348907535
Hh,Lung,48,Neutrophils,3.5298189,3.4886714999999997,2.4395016999999997,4.47115595,101.17945756715703
Hh,Lung,48,Unknown Myeloid,5.4400417999999995,4.9659729,4.836037725000001,5.7320174250000004,109.54634488641692
Hh,Lung,48,cDC1,0.48422885,0.40790545,0.373928125,0.5627677,118.71105178908495
Hh,Lung,48,cDC2,0.13028365,0.13360185,0.11266794999999999,0.15252035,97.51635175710517
Hh,Lung,48,moDCs,2.0712561000000003,1.7529036499999997,1.427349025,2.0385381000000002,118.16143460024176
Hh,Lung,48,pDCs,0.4957905833333333,0.4810239,0.42094899999999996,0.5551401499999999,103.06984400012833
Hh,Lung,72,B-cells,37.69271505,42.27515235,38.710187925,43.556143125000006,89.16044757908482
Hh,Lung,72,CD103+CD4+ T-cells,1.0264582333333334,1.0096383,0.9521636499999999,1.21675775,101.66593653720679
Hh,Lung,72,CD206+ Macrophages,0.3436965166666667,0.29510055,0.27559415000000004,0.4668739,116.46759610128366
Hh,Lung,72,CD4+ T-cells,16.49582223333333,16.42059025,14.720589525,18.299629399999997,100.45815638894791
Hh,Lung,72,CD64+MHCII- Macrophages,0.060664383333333335,0.054870600000000005,0.02708605,0.08511125000000001,110.55899394818596
Hh,Lung,72,Drop,5.388261583333334,5.5372384,4.1258023,6.617184775000001,97.30954663850727
Hh,Lung,72,Ly6C(hi)CD64(hi) Monocytes,2.34777935,2.62844825,1.76067735,2.9827620250000004,89.3218784124816
Hh,Lung,72,Ly6C+ NK cells,4.787275383333333,4.8567256500000004,3.9878408499999995,5.94009005,98.5700187395459
Hh,Lung,72,Ly6C+CD8+ T-cells,5.2710641166666665,5.82529235,3.9778271,6.7367594749999995,90.48582972263472
Hh,Lung,72,Ly6C- NK cells,5.59763405,6.02094455,4.248231175,7.147452374999999,92.96936723989594
Hh,Lung,72,Ly6C-CD8+ T-cells,13.812289716666667,4.39431685,3.4757117249999996,12.04685615,314.3216610942988
Hh,Lung,72,Monocytes,0.9307936666666665,0.9854901999999999,0.5782677,1.1903614249999999,94.4498145863517
Hh,Lung,72,Neutrophils,0.7177755166666666,0.6013113,0.4216806,0.9811456500000001,119.36837319815321
Hh,Lung,72,Unknown Myeloid,3.2922423666666667,3.6556000500000003,3.087650325,3.781934025,90.06024514817112
Hh,Lung,72,cDC1,0.26251605,0.266557,0.246864675,0.29640365,98.48402030334977
Hh,Lung,72,cDC2,0.09067351666666666,0.0809368,0.07085235000000001,0.11850245,112.03002424937316
Hh,Lung,72,moDCs,1.35926115,1.3920671,1.0131852749999999,1.766734825,97.64336431771142
Hh,Lung,72,pDCs,0.5230772333333333,0.58232675,0.40567385000000006,0.632665775,89.82538297155907
Hh,Lung,96,B-cells,39.04119111666667,38.3261005,35.88787115,40.866034500000005,101.86580582771958
Hh,Lung,96,CD103+CD4+ T-cells,1.28991945,1.1613298,0.76045895,1.5770727750000002,111.07262123128159
Hh,Lung,96,CD206+ Macrophages,0.77179685,0.8033980999999999,0.731868325,0.8628827250000001,96.06655156391334
Hh,Lung,96,CD4+ T-cells,20.103575816666666,20.4175786,19.522814625000002,22.00296455,98.46209587588739
Hh,Lung,96,CD64+MHCII- Macrophages,0.16887123333333334,0.15120730000000002,0.083469275,0.222352575,111.68193158222739
Hh,Lung,96,Drop,4.897184316666666,4.8595919,4.80403745,4.9513207249999995,100.77357147349485
Hh,Lung,96,Ly6C(hi)CD64(hi) Monocytes,2.0358237666666668,2.0873313000000002,1.67527245,2.4048606,97.53237383383589
Hh,Lung,96,Ly6C+ NK cells,5.321196466666667,5.1458461,4.597001675,5.8975285500000005,103.4076100073546
Hh,Lung,96,Ly6C+CD8+ T-cells,5.396665066666667,5.356209400000001,5.15074555,5.830086249999999,100.75530405265086
Hh,Lung,96,Ly6C- NK cells,6.958067,7.1133165499999995,6.195808725,7.5497605750000005,97.81748008950902
Hh,Lung,96,Ly6C-CD8+ T-cells,3.7228001166666664,3.5547886,3.091778325,4.245358625,104.72634340806275
Hh,Lung,96,Monocytes,1.4520512666666667,1.39354835,1.046678025,1.807550725,104.19812607626184
Hh,Lung,96,Neutrophils,1.1387756500000001,1.1589943,1.00377285,1.220485475,98.25550048002826
Hh,Lung,96,Unknown Myeloid,4.574567999999999,4.3847233999999995,3.613156149999999,5.206683450000001,104.3296824606998
Hh,Lung,96,cDC1,0.6913736,0.70907305,0.5966915749999999,0.8115810000000001,97.50386085044413
Hh,Lung,96,cDC2,0.15843211666666668,0.1574832,0.135662525,0.19911564999999998,100.60255104459821
Hh,Lung,96,moDCs,1.3979691833333334,1.2692038499999998,0.623430325,1.9854536749999998,110.14536264866621
Hh,Lung,96,pDCs,0.8797389333333334,0.83512685,0.6826538,1.16578775,105.3419529420391
Hh,Lung,144,B-cells,32.5797717,33.41285,26.842955875,36.645269925,97.50671283652848
Hh,Lung,144,CD103+CD4+ T-cells,0.8560138833333333,0.83911505,0.8220971,0.8824304000000002,102.01388752750094
Hh,Lung,144,CD206+ Macrophages,0.36990315,0.37036415,0.28070722499999995,0.41341555,99.87552790949124
Hh,Lung,144,CD4+ T-cells,20.505401683333332,21.1845481,15.976474275,24.236779925,96.79414253511186
Hh,Lung,144,CD64+MHCII- Macrophages,0.03715638833333333,0.04141925,0.024974049999999998,0.04892295000000001,89.70801821214371
Hh,Lung,144,Drop,6.510100866666667,6.878321649999999,5.790752425000001,6.993670299999999,94.6466478005818
Hh,Lung,144,Ly6C(hi)CD64(hi) Monocytes,1.7535920666666667,1.65728935,1.25425575,2.2287161749999997,105.81085714855203
Hh,Lung,144,Ly6C+ NK cells,5.797360599999999,5.8639288,5.780906525,6.441401099999999,98.86478498852168
Hh,Lung,144,Ly6C+CD8+ T-cells,6.379541866666666,6.346239249999999,5.523626825,7.2541316249999985,100.52476144303364
Hh,Lung,144,Ly6C- NK cells,6.6973386999999995,6.692062,5.98217395,7.231057449999999,100.07885013617626
Hh,Lung,144,Ly6C-CD8+ T-cells,5.308928216666667,5.182962900000001,3.2049012,7.078390125,102.43037272496522
Hh,Lung,144,Monocytes,1.9415428833333335,1.5794456,1.456375025,2.7129478999999996,122.92559384972384
Hh,Lung,144,Neutrophils,2.3388391833333335,2.7334783000000002,1.4107549000000001,3.368684275,85.5627492390678
Hh,Lung,144,Unknown Myeloid,4.8168161000000005,4.79388445,3.81951835,5.911604125,100.47835216386996
Hh,Lung,144,cDC1,0.37662576666666664,0.42947474999999996,0.310967275,0.440510375,87.6945074574621
Hh,Lung,144,cDC2,0.14634603333333335,0.14289865,0.11434057500000001,0.19351385000000002,102.41246739093293
Hh,Lung,144,moDCs,2.9822728,3.08394105,2.17468075,3.4985459749999994,96.70330112179025
Hh,Lung,144,pDCs,0.60244815,0.6476545499999999,0.544241225,0.6597043,93.01998264352501
Hh,Nasal Tissue,2,B-cells,59.369871583333335,61.8632732,60.333416799999995,62.279135475000004,95.96949613609085
Hh,Nasal Tissue,2,CD103+CD4+ T-cells,0.57796375,0.50984585,0.42481607499999996,0.7413204000000001,113.3604892537617
Hh,Nasal Tissue,2,CD206+ Macrophages,1.8214759666666667,1.61843435,1.402544475,2.2366571499999996,112.54555778964199
Hh,Nasal Tissue,2,CD4+ T-cells,3.9172526666666667,2.6157517500000003,1.543035075,5.417596275,149.75628580451743
Hh,Nasal Tissue,2,CD64+MHCII- Macrophages,0.3925046833333333,0.3269459,0.238923175,0.5403693749999999,120.0518750451782
Hh,Nasal Tissue,2,Drop,5.9290595,6.10971915,5.675724925,6.443002624999999,97.04307766748984
Hh,Nasal Tissue,2,Ly6C(hi)CD64(hi) Monocytes,3.7167058,3.5574459000000003,2.6623736,3.7849385499999997,104.47680455238968
Hh,Nasal Tissue,2,Ly6C+ NK cells,0.63950305,0.6323229499999999,0.5811215249999999,0.7091341,101.13551152935378
Hh,Nasal Tissue,2,Ly6C+CD8+ T-cells,0.804708,0.5754094,0.349550125,1.0160229250000001,139.8496444444599
Hh,Nasal Tissue,2,Ly6C- NK cells,2.457245583333333,2.2527553,2.0673789,2.4828118999999997,109.07734112681182
Hh,Nasal Tissue,2,Ly6C-CD8+ T-cells,0.6171388999999999,0.5812452499999999,0.30470505000000003,0.828043375,106.1753020777374
Hh,Nasal Tissue,2,Monocytes,1.6560116666666667,1.4304036,1.3120487,1.948553875,115.77233632987686
Hh,Nasal Tissue,2,Neutrophils,12.226928666666668,12.14865035,6.27171205,14.438782725000001,100.64433755529616
Hh,Nasal Tissue,2,Unknown Myeloid,3.9094452333333334,3.7744729999999995,3.6229950749999995,4.2093431500000005,103.5759226078272
Hh,Nasal Tissue,2,cDC1,0.12043150000000001,0.09453890000000001,0.07960395,0.16962069999999999,127.3883025929009
Hh,Nasal Tissue,2,cDC2,0.10492665000000001,0.10552184999999999,0.091330375,0.124445,99.4359462045065
Hh,Nasal Tissue,2,moDCs,0.03073167,0.0288956,0.019258675,0.044643,106.35415080496684
Hh,Nasal Tissue,2,pDCs,1.7080952333333332,1.6223451,1.371973025,1.8873570999999998,105.28556675970688
Hh,Nasal Tissue,6,B-cells,47.9495415,48.141053649999996,45.961039025,51.061506375,99.60218537925584
Hh,Nasal Tissue,6,CD103+CD4+ T-cells,0.5094101833333333,0.39419680000000007,0.32885575,0.4858322500000001,129.22737661323816
Hh,Nasal Tissue,6,CD206+ Macrophages,0.8856562333333333,0.7926357,0.69210965,1.0720087,111.73559724011083
Hh,Nasal Tissue,6,CD4+ T-cells,1.5847038833333333,1.47816685,1.318358725,1.636900225,107.20737536045633
Hh,Nasal Tissue,6,CD64+MHCII- Macrophages,0.25735825,0.2468086,0.164152925,0.32620425,104.27442560753558
Hh,Nasal Tissue,6,Drop,4.69105035,4.63255695,4.02087605,4.9559785750000005,101.26265905916172
Hh,Nasal Tissue,6,Ly6C(hi)CD64(hi) Monocytes,4.77418445,4.39658865,3.85359375,5.102993325000001,108.58838135789665
Hh,Nasal Tissue,6,Ly6C+ NK cells,1.0952213166666667,0.9847857,0.8196789999999999,1.3065428000000001,111.21417752782831
Hh,Nasal Tissue,6,Ly6C+CD8+ T-cells,0.5265851,0.4989437500000001,0.45937704999999995,0.626709775,105.53997319337098
Hh,Nasal Tissue,6,Ly6C- NK cells,2.8479847166666667,2.62181385,2.2372565,3.189367975,108.62650361949481
Hh,Nasal Tissue,6,Ly6C-CD8+ T-cells,0.3828099833333333,0.34057365,0.29502069999999997,0.3891452,112.40152705100155
Hh,Nasal Tissue,6,Monocytes,1.9439823166666668,1.9038858499999998,1.7604030499999999,2.019863975,102.10603312518273
Hh,Nasal Tissue,6,Neutrophils,27.352133566666666,29.265229799999997,22.156411775000002,30.965492875,93.46290377212985
Hh,Nasal Tissue,6,Unknown Myeloid,3.5527387833333335,2.87848105,2.5688828249999998,4.212442475,123.4240810212502
Hh,Nasal Tissue,6,cDC1,0.059266120000000005,0.05093469999999999,0.039556999999999995,0.0814493,116.35706109980035
Hh,Nasal Tissue,6,cDC2,0.05746628333333333,0.048012,0.042225975,0.069163275,119.69150073592714
Hh,Nasal Tissue,6,moDCs,0.046161865999999996,0.016043,0.015280400000000001,0.0692247,287.73836564233613
Hh,Nasal Tissue,6,pDCs,1.5013163999999999,1.2860692,1.0956683999999999,1.478333525,116.73682878028646
Hh,Nasal Tissue,24,B-cells,48.35379115,50.671073899999996,46.111908475,53.70684735,95.42681342303267
Hh,Nasal Tissue,24,CD103+CD4+ T-cells,0.4148229,0.43857140000000006,0.31486395,0.461192575,94.58503222052326
Hh,Nasal Tissue,24,CD206+ Macrophages,1.3229976666666667,1.3590483500000001,1.156375475,1.494511175,97.34735829425544
Hh,Nasal Tissue,24,CD4+ T-cells,1.5247831833333332,1.2160009,1.0986264,1.8030335750000002,125.39326108503153
Hh,Nasal Tissue,24,CD64+MHCII- Macrophages,0.5482079666666667,0.5063437000000001,0.3498328,0.753388825,108.26795448756776
Hh,Nasal Tissue,24,Drop,5.1427894,4.99524785,4.9400585999999995,5.0468816499999996,102.95363822637948
Hh,Nasal Tissue,24,Ly6C(hi)CD64(hi) Monocytes,6.51219305,5.502068749999999,4.7427832500000005,5.996785225,118.35899087956689
Hh,Nasal Tissue,24,Ly6C+ NK cells,0.53918325,0.5122433500000001,0.48797192500000003,0.57634975,105.25919955817872
Hh,Nasal Tissue,24,Ly6C+CD8+ T-cells,0.61948565,0.6411737500000001,0.5621151249999999,0.7575742,96.61743794096373
Hh,Nasal Tissue,24,Ly6C- NK cells,2.0317940666666665,2.07006955,1.8680646500000002,2.1910159499999997,98.1510049585854
