Tissue,Timepoint,Treatment,Cell_ID,Total_idPerSample,Total_evtsPerSample,Proportion_idPerSample,For_Vlookup,Sample_ID
Lung,6,Hh,CD4+ T-cells,6888,36607,0.188160734,1_1,1
Lung,6,Hh,B-cells,6645,36607,0.18152266,1_1,1
Lung,6,Hh,CD206+ Macrophages,384,36607,0.010489797,1_1,1
Lung,6,Hh,Unknown Myeloid,1672,36607,0.045674325,1_1,1
Lung,6,Hh,Neutrophils,10677,36607,0.291665528,1_1,1
Lung,6,Hh,Ly6C(hi)CD64(hi) Monocytes,995,36607,0.027180594,1_1,1
Lung,6,Hh,Drop,1510,36607,0.041248941,1_1,1
Lung,6,Hh,Ly6C+ NK cells,1190,36607,0.032507444,1_1,1
Lung,6,Hh,moDCs,1260,36607,0.034419647,1_1,1
Lung,6,Hh,Ly6C-CD8+ T-cells,1250,36607,0.034146475,1_1,1
Lung,6,Hh,Ly6C- NK cells,1002,36607,0.027371814,1_1,1
Lung,6,Hh,Ly6C+CD8+ T-cells,2047,36607,0.055918267,1_1,1
Lung,6,Hh,Monocytes,477,36607,0.013030295,1_1,1
Lung,6,Hh,CD64+MHCII- Macrophages,34,36607,0.000928784,1_1,1
Lung,6,Hh,cDC1,240,36607,0.006556123,1_1,1
Lung,6,Hh,cDC2,49,36607,0.001338542,1_1,1
Lung,6,Hh,CD103+CD4+ T-cells,178,36607,0.004862458,1_1,1
Lung,6,Hh,pDCs,109,36607,0.002977573,1_1,1
Lung,6,Hh,Neutrophils,14766,51925,0.28437169,1_2,2
Lung,6,Hh,Ly6C-CD8+ T-cells,1846,51925,0.035551276,1_2,2
Lung,6,Hh,CD4+ T-cells,9988,51925,0.192354357,1_2,2
Lung,6,Hh,Ly6C+CD8+ T-cells,2616,51925,0.050380356,1_2,2
Lung,6,Hh,moDCs,670,51925,0.012903226,1_2,2
Lung,6,Hh,CD206+ Macrophages,582,51925,0.011208474,1_2,2
Lung,6,Hh,B-cells,12175,51925,0.234472797,1_2,2
Lung,6,Hh,CD103+CD4+ T-cells,248,51925,0.004776119,1_2,2
Lung,6,Hh,Drop,1653,51925,0.031834377,1_2,2
Lung,6,Hh,Ly6C+ NK cells,1525,51925,0.029369283,1_2,2
Lung,6,Hh,Monocytes,629,51925,0.012113625,1_2,2
Lung,6,Hh,Ly6C- NK cells,1477,51925,0.028444872,1_2,2
Lung,6,Hh,pDCs,254,51925,0.004891671,1_2,2
Lung,6,Hh,Unknown Myeloid,1891,51925,0.03641791,1_2,2
Lung,6,Hh,Ly6C(hi)CD64(hi) Monocytes,1225,51925,0.023591719,1_2,2
Lung,6,Hh,CD64+MHCII- Macrophages,57,51925,0.001097737,1_2,2
Lung,6,Hh,cDC1,280,51925,0.005392393,1_2,2
Lung,6,Hh,cDC2,43,51925,0.000828117,1_2,2
Lung,6,Hh,Ly6C- NK cells,2535,49276,0.051444922,1_3,3
Lung,6,Hh,Neutrophils,6914,49276,0.140311714,1_3,3
Lung,6,Hh,B-cells,9685,49276,0.196545986,1_3,3
Lung,6,Hh,cDC1,280,49276,0.005682279,1_3,3
Lung,6,Hh,Drop,2585,49276,0.052459615,1_3,3
Lung,6,Hh,CD4+ T-cells,11927,49276,0.242044809,1_3,3
Lung,6,Hh,Ly6C+ NK cells,1595,49276,0.032368699,1_3,3
Lung,6,Hh,Ly6C-CD8+ T-cells,2977,49276,0.060414806,1_3,3
Lung,6,Hh,Unknown Myeloid,3364,49276,0.068268528,1_3,3
Lung,6,Hh,Ly6C+CD8+ T-cells,2313,49276,0.046939687,1_3,3
Lung,6,Hh,moDCs,1646,49276,0.033403685,1_3,3
Lung,6,Hh,CD103+CD4+ T-cells,316,49276,0.006412858,1_3,3
Lung,6,Hh,Monocytes,825,49276,0.01674243,1_3,3
Lung,6,Hh,CD206+ Macrophages,588,49276,0.011932787,1_3,3
Lung,6,Hh,Ly6C(hi)CD64(hi) Monocytes,1407,49276,0.028553454,1_3,3
Lung,6,Hh,pDCs,207,49276,0.004200828,1_3,3
Lung,6,Hh,CD64+MHCII- Macrophages,73,49276,0.001481451,1_3,3
Lung,6,Hh,cDC2,39,49276,0.00079146,1_3,3
Lung,6,Pam1ug,CD4+ T-cells,4127,22939,0.17991194,1_4,1
Lung,6,Pam1ug,B-cells,3898,22939,0.169928942,1_4,1
Lung,6,Pam1ug,Unknown Myeloid,671,22939,0.029251493,1_4,1
Lung,6,Pam1ug,Neutrophils,6668,22939,0.290683988,1_4,1
Lung,6,Pam1ug,Monocytes,641,22939,0.027943677,1_4,1
Lung,6,Pam1ug,Ly6C(hi)CD64(hi) Monocytes,2010,22939,0.087623698,1_4,1
Lung,6,Pam1ug,Ly6C+ NK cells,687,22939,0.029948995,1_4,1
Lung,6,Pam1ug,Ly6C-CD8+ T-cells,855,22939,0.037272767,1_4,1
Lung,6,Pam1ug,CD206+ Macrophages,216,22939,0.009416278,1_4,1
Lung,6,Pam1ug,moDCs,345,22939,0.015039888,1_4,1
Lung,6,Pam1ug,Ly6C+CD8+ T-cells,938,22939,0.040891059,1_4,1
Lung,6,Pam1ug,CD103+CD4+ T-cells,92,22939,0.004010637,1_4,1
Lung,6,Pam1ug,Drop,686,22939,0.029905401,1_4,1
Lung,6,Pam1ug,Ly6C- NK cells,839,22939,0.036575265,1_4,1
Lung,6,Pam1ug,cDC1,113,22939,0.004926108,1_4,1
Lung,6,Pam1ug,pDCs,112,22939,0.004882514,1_4,1
Lung,6,Pam1ug,cDC2,11,22939,0.000479533,1_4,1
Lung,6,Pam1ug,CD64+MHCII- Macrophages,30,22939,0.001307816,1_4,1
Lung,6,Pam1ug,Neutrophils,34330,91392,0.375634629,1_5,2
Lung,6,Pam1ug,B-cells,11432,91392,0.125087535,1_5,2
Lung,6,Pam1ug,moDCs,2762,91392,0.030221464,1_5,2
Lung,6,Pam1ug,Ly6C- NK cells,3197,91392,0.03498118,1_5,2
Lung,6,Pam1ug,Unknown Myeloid,4276,91392,0.046787465,1_5,2
Lung,6,Pam1ug,Ly6C+CD8+ T-cells,3278,91392,0.035867472,1_5,2
Lung,6,Pam1ug,Drop,2544,91392,0.027836134,1_5,2
Lung,6,Pam1ug,CD4+ T-cells,14470,91392,0.158328957,1_5,2
Lung,6,Pam1ug,Monocytes,3009,91392,0.032924107,1_5,2
Lung,6,Pam1ug,CD206+ Macrophages,685,91392,0.007495186,1_5,2
Lung,6,Pam1ug,Ly6C(hi)CD64(hi) Monocytes,5061,91392,0.055376838,1_5,2
Lung,6,Pam1ug,Ly6C-CD8+ T-cells,2715,91392,0.029707195,1_5,2
Lung,6,Pam1ug,Ly6C+ NK cells,2447,91392,0.026774772,1_5,2
Lung,6,Pam1ug,cDC1,318,91392,0.003479517,1_5,2
Lung,6,Pam1ug,CD64+MHCII- Macrophages,65,91392,0.000711222,1_5,2
Lung,6,Pam1ug,pDCs,363,91392,0.003971901,1_5,2
Lung,6,Pam1ug,CD103+CD4+ T-cells,367,91392,0.004015669,1_5,2
Lung,6,Pam1ug,cDC2,73,91392,0.000798757,1_5,2
Lung,6,Pam1ug,B-cells,18440,83714,0.220273789,1_6,3
Lung,6,Pam1ug,CD4+ T-cells,19934,83714,0.238120267,1_6,3
Lung,6,Pam1ug,Ly6C+CD8+ T-cells,4248,83714,0.0507442,1_6,3
Lung,6,Pam1ug,Ly6C- NK cells,4403,83714,0.052595743,1_6,3
Lung,6,Pam1ug,Drop,3215,83714,0.038404568,1_6,3
Lung,6,Pam1ug,Ly6C-CD8+ T-cells,3897,83714,0.046551353,1_6,3
Lung,6,Pam1ug,Neutrophils,12904,83714,0.154143871,1_6,3
Lung,6,Pam1ug,Unknown Myeloid,6319,83714,0.075483193,1_6,3
Lung,6,Pam1ug,pDCs,411,83714,0.004909573,1_6,3
Lung,6,Pam1ug,Ly6C+ NK cells,2132,83714,0.025467664,1_6,3
Lung,6,Pam1ug,Ly6C(hi)CD64(hi) Monocytes,3164,83714,0.037795351,1_6,3
Lung,6,Pam1ug,moDCs,1304,83714,0.015576845,1_6,3
Lung,6,Pam1ug,Monocytes,1868,83714,0.022314069,1_6,3
Lung,6,Pam1ug,cDC1,330,83714,0.003941993,1_6,3
Lung,6,Pam1ug,CD103+CD4+ T-cells,636,83714,0.007597296,1_6,3
Lung,6,Pam1ug,CD206+ Macrophages,318,83714,0.003798648,1_6,3
Lung,6,Pam1ug,cDC2,81,83714,0.00096758,1_6,3
Lung,6,Pam1ug,CD64+MHCII- Macrophages,110,83714,0.001313998,1_6,3
Nasal Tissue,6,Hh,B-cells,11943,26398,0.452420638,1_1,1
Nasal Tissue,6,Hh,Neutrophils,8186,26398,0.31009925,1_1,1
Nasal Tissue,6,Hh,Ly6C- NK cells,868,26398,0.032881279,1_1,1
Nasal Tissue,6,Hh,Ly6C+ NK cells,368,26398,0.01394045,1_1,1
Nasal Tissue,6,Hh,pDCs,283,26398,0.010720509,1_1,1
Nasal Tissue,6,Hh,CD206+ Macrophages,195,26398,0.007386923,1_1,1
Nasal Tissue,6,Hh,Ly6C+CD8+ T-cells,179,26398,0.006780817,1_1,1
Nasal Tissue,6,Hh,Ly6C(hi)CD64(hi) Monocytes,1068,26398,0.04045761,1_1,1
Nasal Tissue,6,Hh,Drop,1233,26398,0.046708084,1_1,1
Nasal Tissue,6,Hh,Unknown Myeloid,694,26398,0.02628987,1_1,1
Nasal Tissue,6,Hh,Monocytes,636,26398,0.024092734,1_1,1
Nasal Tissue,6,Hh,CD64+MHCII- Macrophages,86,26398,0.003257823,1_1,1
Nasal Tissue,6,Hh,Ly6C-CD8+ T-cells,83,26398,0.003144178,1_1,1
Nasal Tissue,6,Hh,CD4+ T-cells,412,26398,0.015607243,1_1,1
Nasal Tissue,6,Hh,CD103+CD4+ T-cells,133,26398,0.00503826,1_1,1
Nasal Tissue,6,Hh,cDC1,9,26398,0.000340935,1_1,1
Nasal Tissue,6,Hh,cDC2,20,26398,0.000757633,1_1,1
Nasal Tissue,6,Hh,moDCs,2,26398,7.57633E-05,1_1,1
Nasal Tissue,6,Hh,Neutrophils,3482,17145,0.20309128,1_2,2
Nasal Tissue,6,Hh,B-cells,10002,17145,0.583377078,1_2,2
Nasal Tissue,6,Hh,Drop,866,17145,0.050510353,1_2,2
Nasal Tissue,6,Hh,Monocytes,329,17145,0.019189268,1_2,2
Nasal Tissue,6,Hh,Ly6C(hi)CD64(hi) Monocytes,608,17145,0.035462234,1_2,2
Nasal Tissue,6,Hh,CD206+ Macrophages,116,17145,0.006765821,1_2,2
Nasal Tissue,6,Hh,Unknown Myeloid,437,17145,0.025488481,1_2,2
Nasal Tissue,6,Hh,Ly6C- NK cells,403,17145,0.023505395,1_2,2
Nasal Tissue,6,Hh,CD4+ T-cells,285,17145,0.016622922,1_2,2
Nasal Tissue,6,Hh,Ly6C-CD8+ T-cells,68,17145,0.003966171,1_2,2
Nasal Tissue,6,Hh,CD103+CD4+ T-cells,51,17145,0.002974628,1_2,2
Nasal Tissue,6,Hh,Ly6C+ NK cells,179,17145,0.010440362,1_2,2
Nasal Tissue,6,Hh,Ly6C+CD8+ T-cells,89,17145,0.005191018,1_2,2
Nasal Tissue,6,Hh,pDCs,200,17145,0.011665209,1_2,2
Nasal Tissue,6,Hh,CD64+MHCII- Macrophages,22,17145,0.001283173,1_2,2
Nasal Tissue,6,Hh,cDC2,8,17145,0.000466608,1_2,2
Nasal Tissue,6,Hh,B-cells,9447,19633,0.481179647,1_3,3
Nasal Tissue,6,Hh,Neutrophils,5438,19633,0.276982631,1_3,3
Nasal Tissue,6,Hh,Drop,902,19633,0.045943055,1_3,3
Nasal Tissue,6,Hh,Unknown Myeloid,898,19633,0.045739316,1_3,3
Nasal Tissue,6,Hh,Ly6C+CD8+ T-cells,94,19633,0.004787857,1_3,3
Nasal Tissue,6,Hh,Ly6C- NK cells,568,19633,0.028930882,1_3,3
Nasal Tissue,6,Hh,CD206+ Macrophages,242,19633,0.012326186,1_3,3
Nasal Tissue,6,Hh,Ly6C+ NK cells,154,19633,0.007843936,1_3,3
Nasal Tissue,6,Hh,Ly6C(hi)CD64(hi) Monocytes,744,19633,0.03789538,1_3,3
Nasal Tissue,6,Hh,pDCs,295,19633,0.015025722,1_3,3
Nasal Tissue,6,Hh,CD103+CD4+ T-cells,70,19633,0.003565426,1_3,3
Nasal Tissue,6,Hh,Ly6C-CD8+ T-cells,72,19633,0.003667295,1_3,3
Nasal Tissue,6,Hh,CD4+ T-cells,274,19633,0.013956094,1_3,3
Nasal Tissue,6,Hh,cDC2,8,19633,0.000407477,1_3,3
Nasal Tissue,6,Hh,Monocytes,329,19633,0.0167575,1_3,3
Nasal Tissue,6,Hh,CD64+MHCII- Macrophages,85,19633,0.004329445,1_3,3
Nasal Tissue,6,Hh,cDC1,10,19633,0.000509347,1_3,2
Nasal Tissue,6,Hh,moDCs,3,19633,0.000152804,1_3,2
Nasal Tissue,6,Pam1ug,B-cells,14380,46462,0.309500237,1_4,1
Nasal Tissue,6,Pam1ug,Neutrophils,21725,46462,0.467586415,1_4,1
Nasal Tissue,6,Pam1ug,Ly6C(hi)CD64(hi) Monocytes,3010,46462,0.064784125,1_4,1
Nasal Tissue,6,Pam1ug,Ly6C+CD8+ T-cells,123,46462,0.002647325,1_4,1
Nasal Tissue,6,Pam1ug,Monocytes,1521,46462,0.03273643,1_4,1
Nasal Tissue,6,Pam1ug,Unknown Myeloid,1351,46462,0.029077526,1_4,1
Nasal Tissue,6,Pam1ug,CD206+ Macrophages,281,46462,0.006047953,1_4,1
Nasal Tissue,6,Pam1ug,Drop,1897,46462,0.040829065,1_4,1
Nasal Tissue,6,Pam1ug,CD4+ T-cells,500,46462,0.010761483,1_4,1
Nasal Tissue,6,Pam1ug,Ly6C- NK cells,738,46462,0.015883948,1_4,1
